1° coordinate,2° coordinate,clusterId
79.4083,152.834,0
98.0463,186.911,0
240.579,48.4737,3
109.687,277.946,0
249.626,229.753,3
100.785,281.983,0
235.33,109.54,3
262.352,64.5746,3
76.5589,204.296,0
245.558,134.502,3
77.6362,276.374,0
271.971,179.429,3
104.697,133.671,0
85.4628,235.565,0
112.966,316.252,0
230.445,80.376,3
267.108,227.292,3
221.915,172.99,3
260.238,295.337,2
445.299,228.653,1
84.1945,236.111,0
254.221,106.87,3
129.538,260.548,0
126.094,185.622,0
486.477,226.4,1
275.999,139.69,3
76.1795,328.754,0
136.945,211.804,0
114.87,177.062,0
497.995,211.044,1
149.249,216.425,0
94.0697,247.129,0
258.921,160.905,3
455.266,201.722,1
358.827,462.533,2
269.755,180.83,3
101.032,302.183,0
232.94,139.133,3
85.9355,190.601,0
544.035,194.97,1
363.166,391.271,2
291.333,101.145,3
63.9973,258.506,0
111.925,292.139,0
108.726,219.119,0
378.409,296.019,2
411.317,370.452,2
394.958,404.996,2
236.855,135.249,3
100.472,282.686,0
328.708,387.179,2
84.0597,244.315,0
112.972,85.4598,0
124.815,134.986,0
521.024,254.35,1
94.2445,171.24,0
292.071,128.506,3
106.678,171.087,0
409.65,360.333,2
235.069,107.866,3
505.428,132.539,1
525.494,201.116,1
399.211,407.591,2
508.788,204.045,1
129.489,170.354,0
448.46,209.021,1
530.411,287.472,1
94.3547,231.428,0
135.028,170.595,0
84.8763,159.498,0
348.879,323.167,2
227.428,166.297,3
377.532,421.858,2
283.947,120.046,3
302.852,88.8816,3
148.664,224.047,0
255.623,83.2804,3
500.917,132.559,1
291.178,101.735,3
132.23,252.887,0
216.492,108.387,3
511.961,304.716,1
444.438,141.068,1
272.012,124.117,3
510.346,216.969,1
251.25,135.48,3
262.579,270.358,3
539.308,125.243,1
162.022,169.258,0
124.64,202.98,0
242.323,234.831,3
240.15,219.197,3
82.836,116.121,0
238.726,61.2067,3
350.444,400.676,2
110.138,286.383,0
266.888,240.366,3
247.813,153.134,3
279.053,50.3872,3
377.99,234.979,1
492.079,220.816,1
379.974,339.299,2
275.25,179.099,3
107.612,335.778,0
123.618,207.659,0
103.319,308.936,0
246.824,88.2918,3
197.17,142.369,3
215.21,93.2688,3
411.603,377.481,2
259.265,189.995,3
254.446,179.319,3
363.52,324.49,2
472.232,265.452,1
286.022,197.381,3
90.6127,209.377,0
96.8284,150.239,0
275.038,159.283,3
383.645,448.204,2
238.897,69.3909,3
222.618,52.3665,3
90.8441,194.756,0
319.827,333.189,2
371.567,412.476,2
99.7145,266.851,0
269.005,118.703,3
265.083,258.207,3
51.9118,187.661,0
122.129,169.916,0
492.134,330.565,2
465.299,292.709,1
57.4484,174.641,0
97.6384,91.4741,0
231.925,116.919,3
358.429,284.336,2
391.121,299.333,2
242.593,128.128,3
259.442,167.649,3
105.517,182.189,0
358.825,213.388,1
95.5233,206.995,0
127.195,164.838,0
446.276,101.351,1
238.983,224.169,3
509.926,134.826,1
93.2104,195.494,0
106.778,340.142,0
515.225,226.964,1
56.1018,289.214,0
124.784,178.223,0
77.95,160.341,0
243.406,214.58,3
258.759,254.148,3
384.786,391.354,2
489.417,169.428,1
92.8565,278.295,0
78.1134,238.913,0
72.2461,162.621,0
494.632,84.9932,1
367.291,391.287,2
96.5661,135.408,0
117.612,354.787,0
94.6972,100.521,0
351.986,393.544,2
149.839,209.192,0
120.863,228.667,0
477.868,174.117,1
521.143,368.359,2
83.5201,130.559,0
492.516,58.4941,1
358.276,505.125,2
97.8183,165.051,0
467.284,132.445,1
100.583,329.862,0
513.834,327.381,1
210.823,121.036,3
261.211,143.423,3
58.4825,176.287,0
509.994,219.796,1
233.586,145.664,3
260.85,145.258,3
354.764,349.826,2
112.17,189.487,0
521.481,128.693,1
318.64,98.8711,3
232.809,103.521,3
119.795,146.029,0
507,93,1
377.138,264.349,2
118.62,250.445,0
199.925,143.775,3
377.723,354.141,2
371.767,390.973,2
392.576,375.727,2
371.076,421.622,2
512.668,343.738,2
355.516,428.12,2
271.651,27.807,3
252.964,103.803,3
60.3197,291.146,0
90.9204,175.595,0
340.645,354.614,2
406.307,304.263,2
449.406,149.682,1
58.2819,194.083,0
319.393,299.922,2
269.596,55.0279,3
108.628,121.511,0
349.161,289.257,2
355.327,400.155,2
69.7415,123.682,0
494.339,163.173,1
125.429,304.731,0
94.1278,361.536,0
491.786,128.87,1
217.356,109.521,3
271.284,76.6356,3
266.395,236.627,3
269.468,162.384,3
295.875,84.5557,3
79.5314,216.482,0
249.28,75.8736,3
388.828,439.887,2
345.368,330.461,2
93.3548,102.192,0
371.218,252.128,2
515.028,222.758,1
260.484,118.356,3
228.66,53.9974,3
235.785,61.7027,3
351.319,452.42,2
397.347,259.154,2
257.55,117.918,3
357.596,427.122,2
394.298,432.444,2
379.278,232.028,1
108.598,146.913,0
379.317,372.099,2
402.318,389.563,2
405.349,353.19,2
362.017,341.111,2
101.813,230.349,0
93.6195,182.736,0
266.016,122.075,3
98.4659,280.95,0
326.371,338.556,2
224.761,173.565,3
369.692,305.679,2
235.504,78.3264,3
503.056,308.799,1
389.786,454.126,2
242.983,204.767,3
341.895,412.539,2
242.649,101.109,3
264.259,225.261,3
154.746,238.654,0
507.256,93.7366,1
99.2358,215.01,0
393.079,451.1,2
265.542,174.002,3
92.2198,283.946,0
109.621,136.269,0
398.821,417.916,2
99.269,320.655,0
493.581,278.051,1
466.666,94.7298,1
342.749,391.119,2
500.357,193.079,1
329.601,419.877,2
361.563,265.745,2
66.9727,282.036,0
108.789,181.222,0
213.988,186.946,3
112.558,161.488,0
230.632,196.894,3
107.091,180.79,0
316.79,322.492,2
61.1464,154.925,0
393.089,358.972,2
128.596,229.383,0
363.207,275.86,2
220.563,165.323,3
96,44,0
156.405,214.707,0
237.118,149.565,3
271.444,211.014,3
476.937,189.97,1
221.853,78.4241,3
126.611,180.995,0
371.481,281.832,2
247.452,119.781,3
211.798,77.4989,3
278.178,88.5935,3
114.42,268.851,0
69.8251,278.04,0
349.848,331.449,2
345.127,247.791,2
94.0366,107.659,0
119.896,330.216,0
111.987,193.684,0
75.1509,165.584,0
347.525,486.293,2
285.981,111.392,3
76.5098,297.078,0
329.974,377.061,2
479.544,287.741,1
88.1548,105.545,0
297.275,89.4054,3
343.633,421.429,2
379.744,351.334,2
264.604,42.0325,3
250.448,178.329,3
226.887,82.256,3
238.931,159.72,3
100.849,301.21,0
289.501,82.9104,3
513.741,99.5478,1
360.105,270.862,2
87.917,297.751,0
342.957,406.787,2
273.211,66.4705,3
495.876,88.4419,1
109.871,216.67,0
123.467,134.859,0
385.122,320.834,2
104.251,74.2027,0
230.664,182.578,3
138.828,240.379,0
120.428,280.079,0
365.675,380.77,2
350.548,406.978,2
127.887,204.147,0
235.496,140.014,3
237.219,258.241,3
134.543,137.086,0
332.985,373.102,2
100.354,239.556,0
269.362,111.877,3
51.4487,212.709,0
107.663,236.243,0
262.156,107.36,3
107.993,316.579,0
90.033,260.035,0
500.093,192.965,1
138.952,223.997,0
218.345,132.532,3
261.128,18.7432,3
120.245,181.691,0
254.144,171.408,3
120.909,286.183,0
378.496,294.253,2
475.81,293.392,1
130.774,193.682,0
82.288,248.417,0
401.364,353.783,2
113.661,323.449,0
81.5438,114.158,0
91.2403,228.36,0
300.536,172.392,3
237.241,150.768,3
467.209,96.6486,1
544.343,117.906,1
266.447,153.602,3
243.88,169.601,3
376.351,419.004,2
351.31,396.011,2
75.7057,270.328,0
497.834,173.914,1
219.579,112.6,3
82.1324,210.114,0
244.076,98.2125,3
335.91,273.958,2
267.332,209.593,3
104.111,187.91,0
359.789,225.945,1
94.9212,158.947,0
390.714,248.897,1
512.15,174.358,1
243.417,168.228,3
218.629,126.637,3
243.831,108.74,3
232.983,92.3751,3
401.069,357.521,2
282.491,176.668,3
68.4592,228.928,0
129.852,198.342,0
353.205,297.987,2
198.642,99.3812,3
377.19,430.553,2
492.133,294.048,1
127.725,162.222,0
363.186,309.192,2
97.7698,316.126,0
271.155,139.113,3
362.442,313.402,2
231.919,135.153,3
247.374,109.465,3
244.416,173.263,3
371.489,511.802,2
127.563,298.263,0
493.428,335.397,2
124.514,178.056,0
508.039,163.309,1
94.113,319.293,0
262.956,141.399,3
294.751,160.429,3
249.463,113.268,3
103.266,243.821,0
219.113,110.406,3
90.0033,204.678,0
370.753,377.895,2
244.66,118.799,3
88.2657,167.677,0
517.991,289.747,1
240.592,115.853,3
248.405,272.666,3
233.146,68.8002,3
65.183,230.859,0
541.972,211.931,1
73.7091,224.405,0
239.448,271.19,3
352.793,460.68,2
100.74,56.5387,0
244.389,205.439,3
501.771,125.018,1
288.148,182.097,3
126.368,187.29,0
357.71,304.154,2
245,55,3
123.076,254.331,0
97.9478,250.41,0
387.689,199.083,1
271.934,210.903,3
127.814,310.347,0
104.753,171.312,0
241.455,54.8767,3
64.0741,159.022,0
518.199,172.63,1
479.318,343.62,2
479.79,208.809,1
508.371,374.276,2
103.964,360.052,0
247.957,215.059,3
99.7607,145.605,0
338.63,297.347,2
89.9885,111.276,0
98.0121,179.874,0
352.974,241.032,2
257.689,263.407,3
249.25,160.403,3
396.084,279.331,2
87.6975,257.128,0
252.944,60.0433,3
363.518,271.563,2
113,103,0
367.09,306.865,2
94.3674,261.017,0
110.126,353.078,0
281.058,168.502,3
397.675,406.202,2
383.711,253.064,2
94.0775,156.845,0
225.279,237.382,3
375.378,267.508,2
254.769,204.428,3
368.788,286.179,2
538.306,192.397,1
335.003,396.335,2
258.736,89.1385,3
125.081,289.554,0
378.364,298.054,2
