1° coordinate,2° coordinate,clusterId
79.4083,152.834,3
98.0463,186.911,3
240.579,48.4737,0
109.687,277.946,3
249.626,229.753,0
100.785,281.983,3
235.33,109.54,0
262.352,64.5746,0
76.5589,204.296,3
245.558,134.502,0
77.6362,276.374,3
271.971,179.429,0
104.697,133.671,3
85.4628,235.565,3
112.966,316.252,3
230.445,80.376,0
267.108,227.292,0
221.915,172.99,0
260.238,295.337,1
445.299,228.653,2
84.1945,236.111,3
254.221,106.87,0
129.538,260.548,3
126.094,185.622,3
486.477,226.4,2
275.999,139.69,0
76.1795,328.754,3
136.945,211.804,3
114.87,177.062,3
497.995,211.044,2
149.249,216.425,3
94.0697,247.129,3
258.921,160.905,0
455.266,201.722,2
358.827,462.533,1
269.755,180.83,0
101.032,302.183,3
232.94,139.133,0
85.9355,190.601,3
544.035,194.97,2
363.166,391.271,1
291.333,101.145,0
63.9973,258.506,3
111.925,292.139,3
108.726,219.119,3
378.409,296.019,1
411.317,370.452,1
394.958,404.996,1
236.855,135.249,0
100.472,282.686,3
328.708,387.179,1
84.0597,244.315,3
112.972,85.4598,3
124.815,134.986,3
521.024,254.35,2
94.2445,171.24,3
292.071,128.506,0
106.678,171.087,3
409.65,360.333,1
235.069,107.866,0
505.428,132.539,2
525.494,201.116,2
399.211,407.591,1
508.788,204.045,2
129.489,170.354,3
448.46,209.021,2
530.411,287.472,2
94.3547,231.428,3
135.028,170.595,3
84.8763,159.498,3
348.879,323.167,1
227.428,166.297,0
377.532,421.858,1
283.947,120.046,0
302.852,88.8816,0
148.664,224.047,3
255.623,83.2804,0
500.917,132.559,2
291.178,101.735,0
132.23,252.887,3
216.492,108.387,0
511.961,304.716,2
444.438,141.068,2
272.012,124.117,0
510.346,216.969,2
251.25,135.48,0
262.579,270.358,0
539.308,125.243,2
162.022,169.258,3
124.64,202.98,3
242.323,234.831,0
240.15,219.197,0
82.836,116.121,3
238.726,61.2067,0
350.444,400.676,1
110.138,286.383,3
266.888,240.366,0
247.813,153.134,0
279.053,50.3872,0
377.99,234.979,2
492.079,220.816,2
379.974,339.299,1
275.25,179.099,0
107.612,335.778,3
123.618,207.659,3
103.319,308.936,3
246.824,88.2918,0
197.17,142.369,0
215.21,93.2688,0
411.603,377.481,1
259.265,189.995,0
254.446,179.319,0
363.52,324.49,1
472.232,265.452,2
286.022,197.381,0
90.6127,209.377,3
96.8284,150.239,3
275.038,159.283,0
383.645,448.204,1
238.897,69.3909,0
222.618,52.3665,0
90.8441,194.756,3
319.827,333.189,1
371.567,412.476,1
99.7145,266.851,3
269.005,118.703,0
265.083,258.207,0
51.9118,187.661,3
122.129,169.916,3
492.134,330.565,1
465.299,292.709,2
57.4484,174.641,3
97.6384,91.4741,3
231.925,116.919,0
358.429,284.336,1
391.121,299.333,1
242.593,128.128,0
259.442,167.649,0
105.517,182.189,3
358.825,213.388,2
95.5233,206.995,3
127.195,164.838,3
446.276,101.351,2
238.983,224.169,0
509.926,134.826,2
93.2104,195.494,3
106.778,340.142,3
515.225,226.964,2
56.1018,289.214,3
124.784,178.223,3
77.95,160.341,3
243.406,214.58,0
258.759,254.148,0
384.786,391.354,1
489.417,169.428,2
92.8565,278.295,3
78.1134,238.913,3
72.2461,162.621,3
494.632,84.9932,2
367.291,391.287,1
96.5661,135.408,3
117.612,354.787,3
94.6972,100.521,3
351.986,393.544,1
149.839,209.192,3
120.863,228.667,3
477.868,174.117,2
521.143,368.359,1
83.5201,130.559,3
492.516,58.4941,2
358.276,505.125,1
97.8183,165.051,3
467.284,132.445,2
100.583,329.862,3
513.834,327.381,2
210.823,121.036,0
261.211,143.423,0
58.4825,176.287,3
509.994,219.796,2
233.586,145.664,0
260.85,145.258,0
354.764,349.826,1
112.17,189.487,3
521.481,128.693,2
318.64,98.8711,0
232.809,103.521,0
119.795,146.029,3
507,93,2
377.138,264.349,1
118.62,250.445,3
199.925,143.775,0
377.723,354.141,1
371.767,390.973,1
392.576,375.727,1
371.076,421.622,1
512.668,343.738,1
355.516,428.12,1
271.651,27.807,0
252.964,103.803,0
60.3197,291.146,3
90.9204,175.595,3
340.645,354.614,1
406.307,304.263,1
449.406,149.682,2
58.2819,194.083,3
319.393,299.922,1
269.596,55.0279,0
108.628,121.511,3
349.161,289.257,1
355.327,400.155,1
69.7415,123.682,3
494.339,163.173,2
125.429,304.731,3
94.1278,361.536,3
491.786,128.87,2
217.356,109.521,0
271.284,76.6356,0
266.395,236.627,0
269.468,162.384,0
295.875,84.5557,0
79.5314,216.482,3
249.28,75.8736,0
388.828,439.887,1
345.368,330.461,1
93.3548,102.192,3
371.218,252.128,1
515.028,222.758,2
260.484,118.356,0
228.66,53.9974,0
235.785,61.7027,0
351.319,452.42,1
397.347,259.154,1
257.55,117.918,0
357.596,427.122,1
394.298,432.444,1
379.278,232.028,2
108.598,146.913,3
379.317,372.099,1
402.318,389.563,1
405.349,353.19,1
362.017,341.111,1
101.813,230.349,3
93.6195,182.736,3
266.016,122.075,0
98.4659,280.95,3
326.371,338.556,1
224.761,173.565,0
369.692,305.679,1
235.504,78.3264,0
503.056,308.799,2
389.786,454.126,1
242.983,204.767,0
341.895,412.539,1
242.649,101.109,0
264.259,225.261,0
154.746,238.654,3
507.256,93.7366,2
99.2358,215.01,3
393.079,451.1,1
265.542,174.002,0
92.2198,283.946,3
109.621,136.269,3
398.821,417.916,1
99.269,320.655,3
493.581,278.051,2
466.666,94.7298,2
342.749,391.119,1
500.357,193.079,2
329.601,419.877,1
361.563,265.745,1
66.9727,282.036,3
108.789,181.222,3
213.988,186.946,0
112.558,161.488,3
230.632,196.894,0
107.091,180.79,3
316.79,322.492,1
61.1464,154.925,3
393.089,358.972,1
128.596,229.383,3
363.207,275.86,1
220.563,165.323,0
96,44,3
156.405,214.707,3
237.118,149.565,0
271.444,211.014,0
476.937,189.97,2
221.853,78.4241,0
126.611,180.995,3
371.481,281.832,1
247.452,119.781,0
211.798,77.4989,0
278.178,88.5935,0
114.42,268.851,3
69.8251,278.04,3
349.848,331.449,1
345.127,247.791,1
94.0366,107.659,3
119.896,330.216,3
111.987,193.684,3
75.1509,165.584,3
347.525,486.293,1
285.981,111.392,0
76.5098,297.078,3
329.974,377.061,1
479.544,287.741,2
88.1548,105.545,3
297.275,89.4054,0
343.633,421.429,1
379.744,351.334,1
264.604,42.0325,0
250.448,178.329,0
226.887,82.256,0
238.931,159.72,0
100.849,301.21,3
289.501,82.9104,0
513.741,99.5478,2
360.105,270.862,1
87.917,297.751,3
342.957,406.787,1
273.211,66.4705,0
495.876,88.4419,2
109.871,216.67,3
123.467,134.859,3
385.122,320.834,1
104.251,74.2027,3
230.664,182.578,0
138.828,240.379,3
120.428,280.079,3
365.675,380.77,1
350.548,406.978,1
127.887,204.147,3
235.496,140.014,0
237.219,258.241,0
134.543,137.086,3
332.985,373.102,1
100.354,239.556,3
269.362,111.877,0
51.4487,212.709,3
107.663,236.243,3
262.156,107.36,0
107.993,316.579,3
90.033,260.035,3
500.093,192.965,2
138.952,223.997,3
218.345,132.532,0
261.128,18.7432,0
120.245,181.691,3
254.144,171.408,0
120.909,286.183,3
378.496,294.253,1
475.81,293.392,2
130.774,193.682,3
82.288,248.417,3
401.364,353.783,1
113.661,323.449,3
81.5438,114.158,3
91.2403,228.36,3
300.536,172.392,0
237.241,150.768,0
467.209,96.6486,2
544.343,117.906,2
266.447,153.602,0
243.88,169.601,0
376.351,419.004,1
351.31,396.011,1
75.7057,270.328,3
497.834,173.914,2
219.579,112.6,0
